Date : 2025-03-18 20:31:16
Directory : c:\Users\LWSte\Documents\GitHub\LifeFlowDring
Total : 193 files,  9367 codes, 607 comments, 2116 blanks, all 12090 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\reminders\sub\add1.html                  | HTML               |         66 |          1 |         15 |         82 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\reminders\sub\add2.html                  | HTML               |         66 |          1 |         15 |         82 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\reminders\sub\script.js                  | JavaScript         |         11 |          0 |          5 |         16 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\reminders\sub\style.css                  | CSS                |         55 |          0 |          7 |         62 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\script.js                                | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\index.html                        | HTML               |         58 |          1 |          6 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\module\fakereadings.js            | JavaScript         |         34 |          6 |          6 |         46 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\module\s-heart.html               | HTML               |         64 |          1 |          9 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\module\s-oxygen.html              | HTML               |         64 |          1 |          9 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\module\s-temp.html                | HTML               |         64 |          1 |          9 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\module\style.css                  | CSS                |         49 |          0 |         12 |         61 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\script.js                         | JavaScript         |         35 |          1 |         12 |         48 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\style.css                         | CSS                |         68 |          0 |          5 |         73 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\accessibility\index.html        | HTML               |         54 |          6 |         14 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\accessibility\script.js         | JavaScript         |         28 |          2 |          9 |         39 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\accessibility\style.css         | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\contacts\1.html                 | HTML               |         58 |          6 |         10 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\contacts\2.html                 | HTML               |         58 |          6 |         10 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\contacts\3.html                 | HTML               |         58 |          6 |         10 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\contacts\index.html             | HTML               |         63 |          6 |         12 |         81 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\contacts\script.js              | JavaScript         |         15 |          1 |          6 |         22 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\contacts\style.css              | CSS                |          6 |          0 |          0 |          6 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\general\index.html              | HTML               |         53 |          6 |         13 |         72 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\general\script.js               | JavaScript         |         32 |          2 |         10 |         44 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\general\style.css               | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\index.html                      | HTML               |         56 |          6 |         13 |         75 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\info\1.html                     | HTML               |         58 |          6 |         10 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\info\2.html                     | HTML               |         58 |          6 |         10 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\info\3.html                     | HTML               |         58 |          6 |         10 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\info\index.html                 | HTML               |         63 |          7 |         13 |         83 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\info\script.js                  | JavaScript         |         16 |          1 |          5 |         22 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\info\style.css                  | CSS                |          3 |          0 |          0 |          3 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\script.js                       | JavaScript         |         27 |          2 |          7 |         36 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\style.css                       | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\style.css                                | CSS                |          9 |          1 |          2 |         12 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\windows_no_gpio.py                           | Python             |         37 |          2 |         10 |         49 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\apache\index.html                    | HTML               |        279 |         18 |         72 |        369 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\badges\index.php                     | PHP                |         70 |          4 |         30 |        104 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\checkUnreadIncidents.php             | PHP                |         15 |          4 |          4 |         23 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\form.css                             | CSS                |         30 |          0 |          0 |         30 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\global.css                           | CSS                |        222 |          1 |         22 |        245 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\hubs\index.php                       | PHP                |         70 |          4 |         30 |        104 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\images\lifeflow.svg                  | XML                |        154 |          1 |          2 |        157 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\incidents\create\index.php           | PHP                |         31 |          0 |          5 |         36 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\incidents\create\process.php         | PHP                |         12 |          0 |          2 |         14 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\incidents\index.php                  | PHP                |         74 |          5 |         34 |        113 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\index.html                           | HTML               |        279 |         18 |         72 |        369 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\index.php                            | PHP                |        154 |          5 |         50 |        209 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\nav.php                              | PHP                |        117 |         13 |         32 |        162 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\residents\index.php                  | PHP                |         71 |          5 |         31 |        107 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\updateReadStatus.php                 | PHP                |         16 |          5 |          5 |         26 |
| Total                                                                                                     |                    |      9,367 |        607 |      2,116 |     12,090 |
+-----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
