Date : 2025-04-18 20:50:03
Directory : c:\Users\LWSte\Documents\GitHub\LifeFlowDring
Total : 239 files,  12017 codes, 1000 comments, 2548 blanks, all 15565 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\web\style.css                                                                       | CSS                |          9 |          1 |          2 |         12 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\windows_no_gpio.py                                                                  | Python             |         37 |          2 |         10 |         49 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\heartrate_monitor.py                                                                       | Python             |         57 |          3 |         13 |         73 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\hrcalc.py                                                                                  | Python             |        123 |         37 |         35 |        195 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\key.json                                                                                   | JSON               |          3 |          0 |          1 |          4 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\lflowalerts.py                                                                             | Python             |         67 |          7 |         14 |         88 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\main.py                                                                                    | Python             |        119 |          2 |         15 |        136 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\max30102.py                                                                                | Python             |        101 |         28 |         29 |        158 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\settings.json                                                                              | JSON with Comments |         19 |          0 |          0 |         19 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\about\index.html                                                                       | HTML               |         57 |          1 |         12 |         70 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\about\script.js                                                                        | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\about\style.css                                                                        | CSS                |         18 |          0 |          1 |         19 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\emergency\countdown.js                                                                 | JavaScript         |         10 |          0 |          1 |         11 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\emergency\emergency.html                                                               | HTML               |         53 |          1 |          8 |         62 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\emergency\index.html                                                                   | HTML               |         56 |          1 |          8 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\emergency\script.js                                                                    | JavaScript         |         22 |          4 |          4 |         30 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\emergency\style.css                                                                    | CSS                |         22 |          0 |          0 |         22 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\events.js                                                                              | JavaScript         |         22 |          2 |          5 |         29 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\global\clock.js                                                                        | JavaScript         |         37 |          3 |         11 |         51 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\global\fade\fade.js                                                                    | JavaScript         |         11 |          0 |          2 |         13 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\global\global.css                                                                      | CSS                |        229 |          5 |         25 |        259 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\global\keyboard\keyboard.js                                                            | JavaScript         |        194 |          9 |         48 |        251 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\global\rotatingwelcome.js                                                              | JavaScript         |         19 |          1 |          3 |         23 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\home\index.html                                                                        | HTML               |         56 |          1 |         13 |         70 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\home\script.js                                                                         | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\home\style.css                                                                         | CSS                |         11 |          0 |          0 |         11 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\index.html                                                                             | HTML               |         63 |          0 |         18 |         81 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\load-redirect.html                                                                     | HTML               |         35 |          0 |          7 |         42 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\old.html                                                                               | HTML               |         56 |          2 |         16 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\index.html                                                                    | HTML               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup_old\final.html                                                          | HTML               |         49 |          6 |         10 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup_old\index.html                                                          | HTML               |         62 |          6 |         11 |         79 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup_old\script.js                                                           | JavaScript         |         16 |          1 |          5 |         22 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup_old\setup\1.html                                                        | HTML               |         61 |          0 |         13 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup_old\setup\2.html                                                        | HTML               |         61 |          0 |         13 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup_old\setup\3.html                                                        | HTML               |         61 |          0 |         13 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup_old\setup\4.html                                                        | HTML               |         61 |          0 |         13 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup_old\setup\5.html                                                        | HTML               |         62 |          0 |         13 |         75 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup_old\setup\6.html                                                        | HTML               |         62 |          0 |         13 |         75 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup_old\setup\script.js                                                     | JavaScript         |          7 |          1 |          1 |          9 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup_old\setup\style.css                                                     | CSS                |         16 |          0 |          1 |         17 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\register\setup_old\style.css                                                           | CSS                |         38 |          0 |          0 |         38 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\reminders\index.html                                                                   | HTML               |         68 |          1 |         12 |         81 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\reminders\script.js                                                                    | JavaScript         |         17 |          0 |          4 |         21 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\reminders\style.css                                                                    | CSS                |         55 |          0 |          7 |         62 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\reminders\sub\add1.html                                                                | HTML               |         66 |          1 |         15 |         82 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\reminders\sub\add2.html                                                                | HTML               |         66 |          1 |         15 |         82 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\reminders\sub\script.js                                                                | JavaScript         |         11 |          0 |          5 |         16 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\reminders\sub\style.css                                                                | CSS                |         55 |          0 |          7 |         62 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\script.js                                                                              | JavaScript         |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\index.html                                                                      | HTML               |         58 |          1 |          6 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\module\readings.js                                                              | JavaScript         |         55 |         15 |         12 |         82 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\module\s-heart.html                                                             | HTML               |         67 |          1 |          9 |         77 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\module\s-oxygen.html                                                            | HTML               |         63 |          1 |          9 |         73 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\module\s-temp.html                                                              | HTML               |         63 |          1 |         10 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\module\style.css                                                                | CSS                |         49 |          0 |         12 |         61 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\script.js                                                                       | JavaScript         |         30 |          0 |          9 |         39 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\sensor\style.css                                                                       | CSS                |         68 |          0 |          5 |         73 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\accessibility\index.html                                                      | HTML               |         54 |          6 |         14 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\accessibility\script.js                                                       | JavaScript         |         28 |          2 |          9 |         39 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\accessibility\style.css                                                       | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\contacts\1.html                                                               | HTML               |         58 |          6 |         10 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\contacts\2.html                                                               | HTML               |         58 |          6 |         10 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\contacts\3.html                                                               | HTML               |         58 |          6 |         10 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\contacts\index.html                                                           | HTML               |         65 |          7 |          9 |         81 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\contacts\script.js                                                            | JavaScript         |         15 |          1 |          7 |         23 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\contacts\style.css                                                            | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\general\index.html                                                            | HTML               |         58 |          7 |         13 |         78 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\general\script.js                                                             | JavaScript         |         32 |          2 |         10 |         44 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\general\style.css                                                             | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\index.html                                                                    | HTML               |         56 |          6 |         13 |         75 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\info\1.html                                                                   | HTML               |         58 |          6 |         10 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\info\2.html                                                                   | HTML               |         58 |          6 |         10 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\info\3.html                                                                   | HTML               |         58 |          6 |         10 |         74 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\info\index.html                                                               | HTML               |         69 |          7 |         10 |         86 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\info\script.js                                                                | JavaScript         |         16 |          1 |          5 |         22 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\info\style.css                                                                | CSS                |          9 |          0 |          0 |          9 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\script.js                                                                     | JavaScript         |         27 |          2 |          7 |         36 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\settings\style.css                                                                     | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\web\style.css                                                                              | CSS                |          9 |          1 |          2 |         12 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\windows_no_gpio.py                                                                         | Python             |         99 |         21 |         34 |        154 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\.idea\compiler.xml                                                         | XML                |          6 |          0 |          0 |          6 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\.idea\deploymentTargetSelector.xml                                         | XML                |         18 |          0 |          0 |         18 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\.idea\gradle.xml                                                           | XML                |         19 |          0 |          0 |         19 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\.idea\migrations.xml                                                       | XML                |         10 |          0 |          0 |         10 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\.idea\misc.xml                                                             | XML                |         10 |          0 |          0 |         10 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\.idea\other.xml                                                            | XML                |        549 |          0 |          0 |        549 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\androidTest\java\com\example\lifeflow\ExampleInstrumentedTest.java | Java               |         15 |          6 |          5 |         26 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\AndroidManifest.xml                                           | XML                |         25 |          0 |          4 |         29 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\java\com\example\lifeflow\MainActivity.java                   | Java               |         60 |         14 |         14 |         88 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\drawable\ic_launcher_background.xml                       | XML                |        170 |          0 |          1 |        171 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\drawable\ic_launcher_foreground.xml                       | XML                |        159 |          0 |          1 |        160 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\layout\activity_main.xml                                  | XML                |         39 |          3 |          4 |         46 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml                         | XML                |          5 |          0 |          0 |          5 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml                   | XML                |          5 |          0 |          0 |          5 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\values-night\themes.xml                                   | XML                |         11 |          5 |          0 |         16 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\values\colors.xml                                         | XML                |         10 |          0 |          0 |         10 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\values\ic_launcher_background.xml                         | XML                |          4 |          0 |          0 |          4 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\values\strings.xml                                        | XML                |          3 |          0 |          0 |          3 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\values\themes.xml                                         | XML                |         11 |          5 |          0 |         16 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\xml\backup_rules.xml                                      | XML                |          3 |         10 |          0 |         13 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\xml\data_extraction_rules.xml                             | XML                |          5 |         14 |          0 |         19 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\main\res\xml\network_security_config.xml                           | XML                |          6 |          0 |          1 |          7 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\app\src\test\java\com\example\lifeflow\ExampleUnitTest.java                | Java               |          9 |          5 |          3 |         17 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\gradle.properties                                                          | Properties         |          3 |         18 |          0 |         21 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\gradle\wrapper\gradle-wrapper.properties                                   | Properties         |          5 |          1 |          1 |          7 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal-android\gradlew.bat                                                                | Batch              |         39 |         29 |         22 |         90 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\apache\index.html                                                                  | HTML               |        279 |         18 |         72 |        369 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\api\badge_alert.php                                                                | PHP                |         50 |         19 |         17 |         86 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\api\hub_alert.php                                                                  | PHP                |         50 |         19 |         17 |         86 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\api\hub_info.php                                                                   | PHP                |         40 |         13 |         11 |         64 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\badges\create\index.php                                                            | PHP                |         67 |          4 |         21 |         92 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\badges\create\process.php                                                          | PHP                |         33 |         13 |         10 |         56 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\badges\delete\index.php                                                            | PHP                |         31 |         11 |         10 |         52 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\badges\edit\index.php                                                              | PHP                |         89 |          8 |         21 |        118 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\badges\edit\process.php                                                            | PHP                |         34 |         15 |         10 |         59 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\badges\index.php                                                                   | PHP                |         74 |          4 |         31 |        109 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\checkUnreadIncidents.php                                                           | PHP                |         15 |          4 |          4 |         23 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\form.css                                                                           | CSS                |         49 |          0 |          0 |         49 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\global.css                                                                         | CSS                |        262 |          2 |         26 |        290 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\hubs\create\index.php                                                              | PHP                |         69 |          4 |         21 |         94 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\hubs\create\process.php                                                            | PHP                |         34 |         11 |         10 |         55 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\hubs\delete\index.php                                                              | PHP                |         31 |         11 |         10 |         52 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\hubs\edit\index.php                                                                | PHP                |         92 |          8 |         22 |        122 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\hubs\edit\process.php                                                              | PHP                |         35 |         11 |         10 |         56 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\hubs\index.php                                                                     | PHP                |         75 |          4 |         31 |        110 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\images\lifeflow.svg                                                                | XML                |        154 |          1 |          2 |        157 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\incidents\create\index.php                                                         | PHP                |         64 |          4 |         10 |         78 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\incidents\create\process.php                                                       | PHP                |         36 |          5 |         10 |         51 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\incidents\index.php                                                                | PHP                |        156 |         20 |         53 |        229 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\index.php                                                                          | PHP                |        196 |         11 |         67 |        274 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\nav.php                                                                            | PHP                |         98 |         10 |         30 |        138 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\residents\create\index.php                                                         | PHP                |         58 |          1 |          9 |         68 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\residents\create\process.php                                                       | PHP                |         37 |         11 |         10 |         58 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\residents\index.php                                                                | PHP                |         73 |          5 |         33 |        111 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\stats\index.php                                                                    | PHP                |        180 |         10 |         61 |        251 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-staff-portal\updateReadStatus.php                                                               | PHP                |         16 |          5 |          5 |         26 |
| Total                                                                                                                                                   |                    |     12,017 |      1,000 |      2,548 |     15,565 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
